dataset,features,mtwv,p_fa,p_miss,desc_score
mwf-jm,20210225-Large-0FT_transformer-L01,0.3034,0.07729,0.427,0.81584422
mwf-jm,20210225-Large-0FT_transformer-L02,0.2697,0.09345,0.405,0.80603786
mwf-jm,20210225-Large-0FT_transformer-L03,0.2762,0.07193,0.473,0.81399362
mwf-jm,20210225-Large-0FT_transformer-L04,0.355,0.06757,0.41,0.808872
mwf-jm,20210225-Large-0FT_transformer-L05,0.3636,0.0824,0.349,0.79918401
mwf-jm,20210225-Large-0FT_transformer-L06,0.3705,0.08334,0.339,0.80806859
mwf-jm,20210225-Large-0FT_transformer-L07,0.3357,0.09645,0.328,0.81555574
mwf-jm,20210225-Large-0FT_transformer-L08,0.3633,0.03718,0.507,0.84063549
mwf-jm,20210225-Large-0FT_transformer-L09,0.4223,0.0735,0.322,0.82785795
mwf-jm,20210225-Large-0FT_transformer-L10,0.4934,0.06012,0.297,0.81856855
mwf-jm,20210225-Large-0FT_transformer-L11,0.5217,0.02737,0.383,0.8402461
mwf-jm,20210225-Large-0FT_transformer-L12,0.5563,0.02738,0.348,0.84187395
mwf-jm,20210225-Large-0FT_transformer-L13,0.5521,0.03297,0.333,0.83258119
mwf-jm,20210225-Large-0FT_transformer-L14,0.5177,0.02899,0.381,0.8418302
mwf-jm,20210225-Large-0FT_transformer-L15,0.4482,0.03766,0.421,0.85180349
mwf-jm,20210225-Large-0FT_transformer-L16,0.4173,0.07573,0.319,0.84512625
mwf-jm,20210225-Large-0FT_transformer-L17,0.4144,0.06411,0.362,0.84560455
mwf-jm,20210225-Large-0FT_transformer-L18,0.3447,0.05679,0.457,0.83278866
mwf-jm,20210225-Large-0FT_transformer-L19,0.3591,0.04268,0.492,0.82220615
mwf-jm,20210225-Large-0FT_transformer-L20,0.324,0.0803,0.396,0.78845678
mwf-jm,20210225-Large-0FT_transformer-L21,0.2174,0.03814,0.65,0.84608185
mwf-jm,20210225-Large-0FT_transformer-L22,0.1271,0.0995,0.526,0.8909023
mwf-jm,20210225-Large-0FT_transformer-L23,0.0798,0.10111,0.568,0.91763213
mwf-jm,20210225-Large-0FT_transformer-L24,0.0883,0.14419,0.409,0.91913276
mwf-jm,bnf,0.2783,0.06529,0.494,0.89289105
mwf-jm,mfcc,0.1424,0.02806,0.76,0.84958981
mwf-jm,wav2vec2-large-xlsr-53_encoder,0.1333,0.02784,0.77,0.83706412
mwf-jm,wav2vec2-large-xlsr-53_quantizer,0.181,0.12053,0.399,0.7918305
